Freq.	V(out)/V(in)
1.29130845806931e+01	(-9.27246331307948e+01dB,-1.71890000358653e+02)
1.32138689601519e+01	(-9.23184350557470e+01dB,-1.71705934870950e+02)
1.35216595078396e+01	(-9.19119541456416e+01dB,-1.71517919186225e+02)
1.38366194183787e+01	(-9.15051779353605e+01dB,-1.71325884349897e+02)
1.41589156876827e+01	(-9.10980934514407e+01dB,-1.71129761326105e+02)
1.44887192014998e+01	(-9.06906871951445e+01dB,-1.70929481090625e+02)
1.48262048260183e+01	(-9.02829451253280e+01dB,-1.70724974731147e+02)
1.51715515005836e+01	(-8.98748526411406e+01dB,-1.70516173555274e+02)
1.55249423325738e+01	(-8.94663945645998e+01dB,-1.70303009206640e+02)
1.58865646944856e+01	(-8.90575551230861e+01dB,-1.70085413789510e+02)
1.62566103232819e+01	(-8.86483179318096e+01dB,-1.69863320002266e+02)
1.66352754220534e+01	(-8.82386659763055e+01dB,-1.69636661280160e+02)
1.70227607640475e+01	(-8.78285815950228e+01dB,-1.69405371947719e+02)
1.74192717991216e+01	(-8.74180464620736e+01dB,-1.69169387381190e+02)
1.78250187626749e+01	(-8.70070415702224e+01dB,-1.68928644181396e+02)
1.82402167871181e+01	(-8.65955472141957e+01dB,-1.68683080357373e+02)
1.86650860159398e+01	(-8.61835429744051e+01dB,-1.68432635521135e+02)
1.90998517204287e+01	(-8.57710077011808e+01dB,-1.68177251093907e+02)
1.95447444191162e+01	(-8.53579194996217e+01dB,-1.67916870524133e+02)
1.99999999999999e+01	(-8.49442557151775e+01dB,-1.67651439517541e+02)
2.04658598456150e+01	(-8.45299929200835e+01dB,-1.67380906279528e+02)
2.09425709610179e+01	(-8.41151069007808e+01dB,-1.67105221770063e+02)
2.14303861047521e+01	(-8.36995726464595e+01dB,-1.66824339971288e+02)
2.19295639228636e+01	(-8.32833643388735e+01dB,-1.66538218167931e+02)
2.24403690860392e+01	(-8.28664553435828e+01dB,-1.66246817240590e+02)
2.29630724299376e+01	(-8.24488182027859e+01dB,-1.65950101971879e+02)
2.34979510987905e+01	(-8.20304246299162e+01dB,-1.65648041365368e+02)
2.40452886923482e+01	(-8.16112455061792e+01dB,-1.65340608977139e+02)
2.46053754162476e+01	(-8.11912508792175e+01dB,-1.65027783259721e+02)
2.51785082358833e+01	(-8.07704099640946e+01dB,-1.64709547918058e+02)
2.57649910338626e+01	(-8.03486911467951e+01dB,-1.64385892277036e+02)
2.63651347711281e+01	(-7.99260619904413e+01dB,-1.64056811660022e+02)
2.69792576518330e+01	(-7.95024892444297e+01dB,-1.63722307777708e+02)
2.76076852920576e+01	(-7.90779388566941e+01dB,-1.63382389126440e+02)
2.82507508924550e+01	(-7.86523759892977e+01dB,-1.63037071395060e+02)
2.89087954149184e+01	(-7.82257650375587e+01dB,-1.62686377879168e+02)
2.95821677633640e+01	(-7.77980696529069e+01dB,-1.62330339901514e+02)
3.02712249687241e+01	(-7.73692527696634e+01dB,-1.61968997237135e+02)
3.09763323782495e+01	(-7.69392766359266e+01dB,-1.61602398541610e+02)
3.16978638492222e+01	(-7.65081028487354e+01dB,-1.61230601780732e+02)
3.24362019471785e+01	(-7.60756923936672e+01dB,-1.60853674659650e+02)
3.31917381487511e+01	(-7.56420056890091e+01dB,-1.60471695049422e+02)
3.39648730492348e+01	(-7.52070026346205e+01dB,-1.60084751408732e+02)
3.47560165749874e+01	(-7.47706426655829e+01dB,-1.59692943198392e+02)
3.55655882007783e+01	(-7.43328848107019e+01dB,-1.59296381286073e+02)
3.63940171721995e+01	(-7.38936877558986e+01dB,-1.58895188338604e+02)
3.72417427332572e+01	(-7.34530099124917e+01dB,-1.58489499199025e+02)
3.81092143592648e+01	(-7.30108094903337e+01dB,-1.58079461245522e+02)
3.89968919951608e+01	(-7.25670445757250e+01dB,-1.57665234729222e+02)
3.99052462993774e+01	(-7.21216732139849e+01dB,-1.57246993087845e+02)
4.08347588933904e+01	(-7.16746534965129e+01dB,-1.56824923232108e+02)
4.17859226170806e+01	(-7.12259436521231e+01dB,-1.56399225801818e+02)
4.27592417900445e+01	(-7.07755021423859e+01dB,-1.55970115388618e+02)
4.37552324789909e+01	(-7.03232877606586e+01dB,-1.55537820722399e+02)
4.47744227713666e+01	(-6.98692597344322e+01dB,-1.55102584818527e+02)
4.58173530553553e+01	(-6.94133778305707e+01dB,-1.54664665083164e+02)
4.68845763063983e+01	(-6.89556024629667e+01dB,-1.54224333374162e+02)
4.79766583803896e+01	(-6.84958948020843e+01dB,-1.53781876015254e+02)
4.90941783137004e+01	(-6.80342168858166e+01dB,-1.53337593761526e+02)
5.02377286301914e+01	(-6.75705317310336e+01dB,-1.52891801714501e+02)
5.14079156553771e+01	(-6.71048034451620e+01dB,-1.52444829185515e+02)
5.26053598379074e+01	(-6.66369973370979e+01dB,-1.51997019506486e+02)
5.38306960785381e+01	(-6.61670800267244e+01dB,-1.51548729787601e+02)
5.50845740667631e+01	(-6.56950195522861e+01dB,-1.51100330621949e+02)
5.63676586252888e+01	(-6.52207854748521e+01dB,-1.50652205737598e+02)
5.76806300625319e+01	(-6.47443489790962e+01dB,-1.50204751598174e+02)
5.90241845333275e+01	(-6.42656829696217e+01dB,-1.49758376953521e+02)
6.03990344080401e+01	(-6.37847621620715e+01dB,-1.49313502342573e+02)
6.18059086502715e+01	(-6.33015631682832e+01dB,-1.48870559551128e+02)
6.32455532033673e+01	(-6.28160645747789e+01dB,-1.48429991027753e+02)
6.47187313859254e+01	(-6.23282470139219e+01dB,-1.47992249261574e+02)
6.62262242965179e+01	(-6.18380932271192e+01dB,-1.47557796126220e+02)
6.77688312278402e+01	(-6.13455881195088e+01dB,-1.47127102194651e+02)
6.93473700905060e+01	(-6.08507188056375e+01dB,-1.46700646030037e+02)
7.09626778467148e+01	(-6.03534746457094e+01dB,-1.46278913458239e+02)
7.26156109540199e+01	(-5.98538472720676e+01dB,-1.45862396827787e+02)
7.43070458194342e+01	(-5.93518306056581e+01dB,-1.45451594263502e+02)
7.60378792641119e+01	(-5.88474208623155e+01dB,-1.45047008920127e+02)
7.78090289988558e+01	(-5.83406165488089e+01dB,-1.44649148242501e+02)
7.96214341106991e+01	(-5.78314184486779e+01dB,-1.44258523238828e+02)
8.14760555608222e+01	(-5.73198295979897e+01dB,-1.43875647773664e+02)
8.33738766940667e+01	(-5.68058552512441e+01dB,-1.43501037887128e+02)
8.53159037603181e+01	(-5.62895028377457e+01dB,-1.43135211146759e+02)
8.73031664480328e+01	(-5.57707819088557e+01dB,-1.42778686038210e+02)
8.93367184301922e+01	(-5.52497040766199e+01dB,-1.42431981400757e+02)
9.14176379229746e+01	(-5.47262829443519e+01dB,-1.42095615913273e+02)
9.35470282574392e+01	(-5.42005340298232e+01dB,-1.41770107635999e+02)
9.57260184645272e+01	(-5.36724746817803e+01dB,-1.41455973613033e+02)
9.79557638736888e+01	(-5.31421239905670e+01dB,-1.41153729540065e+02)
1.00237446725454e+02	(-5.26095026936827e+01dB,-1.40863889501450e+02)
1.02572276798272e+02	(-5.20746330771512e+01dB,-1.40586965780259e+02)
1.04961492049954e+02	(-5.15375388736097e+01dB,-1.40323468744501e+02)
1.07406359274050e+02	(-5.09982451580562e+01dB,-1.40073906812259e+02)
1.09908174771524e+02	(-5.04567782422155e+01dB,-1.39838786498066e+02)
1.12468265038069e+02	(-4.99131655684988e+01dB,-1.39618612542393e+02)
1.15087987467431e+02	(-4.93674356045408e+01dB,-1.39413888125787e+02)
1.17768731071117e+02	(-4.88196177393067e+01dB,-1.39225115168772e+02)
1.20511917214871e+02	(-4.82697421817591e+01dB,-1.39052794718368e+02)
1.23319000372296e+02	(-4.77178398630806e+01dB,-1.38897427421733e+02)
1.26191468896038e+02	(-4.71639423434435e+01dB,-1.38759514087253e+02)
1.29130845806930e+02	(-4.66080817243213e+01dB,-1.38639556333138e+02)
1.32138689601519e+02	(-4.60502905673390e+01dB,-1.38538057323476e+02)
1.35216595078396e+02	(-4.54906018206669e+01dB,-1.38455522591546e+02)
1.38366194183787e+02	(-4.49290487539763e+01dB,-1.38392460950119e+02)
1.41589156876827e+02	(-4.43656649029929e+01dB,-1.38349385488420e+02)
1.44887192014997e+02	(-4.38004840247165e+01dB,-1.38326814655424e+02)
1.48262048260183e+02	(-4.32335400644129e+01dB,-1.38325273429150e+02)
1.51715515005836e+02	(-4.26648671355367e+01dB,-1.38345294571618e+02)
1.55249423325738e+02	(-4.20944995138102e+01dB,-1.38387419969196e+02)
1.58865646944855e+02	(-4.15224716467649e+01dB,-1.38452202058046e+02)
1.62566103232819e+02	(-4.09488181801536e+01dB,-1.38540205334377e+02)
1.66352754220533e+02	(-4.03735740027592e+01dB,-1.38652007949178e+02)
1.70227607640474e+02	(-3.97967743112679e+01dB,-1.38788203387000e+02)
1.74192717991215e+02	(-3.92184546970389e+01dB,-1.38949402228185e+02)
1.78250187626748e+02	(-3.86386512567933e+01dB,-1.39136233993642e+02)
1.82402167871181e+02	(-3.80574007294603e+01dB,-1.39349349070889e+02)
1.86650860159397e+02	(-3.74747406616663e+01dB,-1.39589420719471e+02)
1.90998517204286e+02	(-3.68907096046290e+01dB,-1.39857147153099e+02)
1.95447444191161e+02	(-3.63053473455261e+01dB,-1.40153253694807e+02)
1.99999999999999e+02	(-3.57186951767527e+01dB,-1.40478495000062e+02)
2.04658598456150e+02	(-3.51307962068533e+01dB,-1.40833657341055e+02)
2.09425709610179e+02	(-3.45416957173271e+01dB,-1.41219560943189e+02)
2.14303861047520e+02	(-3.39514415699406e+01dB,-1.41637062362102e+02)
2.19295639228636e+02	(-3.33600846696561e+01dB,-1.42087056886148e+02)
2.24403690860391e+02	(-3.27676794887711e+01dB,-1.42570480945187e+02)
2.29630724299375e+02	(-3.21742846583746e+01dB,-1.43088314501486e+02)
2.34979510987905e+02	(-3.15799636337369e+01dB,-1.43641583392475e+02)
2.40452886923481e+02	(-3.09847854407463e+01dB,-1.44231361587837e+02)
2.46053754162475e+02	(-3.03888255109712e+01dB,-1.44858773314707e+02)
2.51785082358832e+02	(-2.97921666133227e+01dB,-1.45524994994477e+02)
2.57649910338625e+02	(-2.91948998905844e+01dB,-1.46231256922576e+02)
2.63651347711280e+02	(-2.85971260092137e+01dB,-1.46978844608419e+02)
2.69792576518329e+02	(-2.79989564307295e+01dB,-1.47769099676304e+02)
2.76076852920575e+02	(-2.74005148126074e+01dB,-1.48603420209140e+02)
2.82507508924549e+02	(-2.68019385457998e+01dB,-1.49483260395380e+02)
2.89087954149184e+02	(-2.62033804346543e+01dB,-1.50410129315403e+02)
2.95821677633640e+02	(-2.56050105229685e+01dB,-1.51385588676787e+02)
3.02712249687240e+02	(-2.50070180670099e+01dB,-1.52411249278754e+02)
3.09763323782494e+02	(-2.44096136523305e+01dB,-1.53488765955107e+02)
3.16978638492221e+02	(-2.38130314458801e+01dB,-1.54619830712871e+02)
3.24362019471784e+02	(-2.32175315680069e+01dB,-1.55806163752232e+02)
3.31917381487510e+02	(-2.26234025601542e+01dB,-1.57049502023912e+02)
3.39648730492347e+02	(-2.20309639131498e+01dB,-1.58351584955670e+02)
3.47560165749873e+02	(-2.14405686077141e+01dB,-1.59714136963809e+02)
3.55655882007782e+02	(-2.08526056030279e+01dB,-1.61138846362977e+02)
3.63940171721994e+02	(-2.02675021908806e+01dB,-1.62627340304070e+02)
3.72417427332571e+02	(-1.96857261122748e+01dB,-1.64181155412593e+02)
3.81092143592647e+02	(-1.91077873108685e+01dB,-1.65801703876386e+02)
3.89968919951606e+02	(-1.85342391742218e+01dB,-1.67490234850730e+02)
3.99052462993773e+02	(-1.79656790908908e+01dB,-1.69247791219092e+02)
4.08347588933903e+02	(-1.74027481310398e+01dB,-1.71075161976441e+02)
4.17859226170805e+02	(-1.68461296431399e+01dB,-1.72972830794024e+02)
4.27592417900444e+02	(-1.62965465529086e+01dB,-1.74940921679660e+02)
4.37552324789908e+02	(-1.57547571568618e+01dB,-1.76979143059154e+02)
4.47744227713665e+02	(-1.52215492259347e+01dB,-1.79086732055889e+02)
4.58173530553552e+02	(-1.46977322785782e+01dB,1.78737598791073e+02)
4.68845763063981e+02	(-1.41841279506569e+01dB,1.76495709695817e+02)
4.79766583803895e+02	(-1.36815584826677e+01dB,1.74190073654742e+02)
4.90941783137003e+02	(-1.31908334618282e+01dB,1.71823805102099e+02)
5.02377286301913e+02	(-1.27127350924002e+01dB,1.69400673960293e+02)
5.14079156553769e+02	(-1.22480024130079e+01dB,1.66925102124113e+02)
5.26053598379073e+02	(-1.17973150214097e+01dB,1.64402139997041e+02)
5.38306960785379e+02	(-1.13612769887644e+01dB,1.61837421593614e+02)
5.50845740667630e+02	(-1.09404017292052e+01dB,1.59237097901273e+02)
5.63676586252887e+02	(-1.05350986202188e+01dB,1.56607749577941e+02)
5.76806300625317e+02	(-1.01456621331923e+01dB,1.53956281524146e+02)
5.90241845333273e+02	(-9.77226412720057e+00dB,1.51289803256205e+02)
6.03990344080399e+02	(-9.41494978765373e+00dB,1.48615500156528e+02)
6.18059086502714e+02	(-9.07363746935807e+00dB,1.45940501442955e+02)
6.32455532033671e+02	(-8.74812245337010e+00dB,1.43271750979808e+02)
6.47187313859252e+02	(-8.43808437580257e+00dB,1.40615886811064e+02)
6.62262242965178e+02	(-8.14309786171597e+00dB,1.37979134563443e+02)
6.77688312278400e+02	(-7.86264572136871e+00dB,1.35367218741528e+02)
6.93473700905058e+02	(-7.59613395464632e+00dB,1.32785294561267e+02)
7.09626778467146e+02	(-7.34290776815224e+00dB,1.30237901505414e+02)
7.26156109540197e+02	(-7.10226783454785e+00dB,1.27728938390574e+02)
7.43070458194340e+02	(-6.87348610399882e+00dB,1.25261658537226e+02)
7.60378792641117e+02	(-6.65582059697529e+00dB,1.22838682715082e+02)
7.78090289988555e+02	(-6.44852874848026e+00dB,1.20462026932933e+02)
7.96214341106989e+02	(-6.25087901944357e+00dB,1.18133141849202e+02)
8.14760555608219e+02	(-6.06216062796606e+00dB,1.15852960558591e+02)
8.33738766940665e+02	(-5.88169137180981e+00dB,1.13621951703993e+02)
8.53159037603179e+02	(-5.70882360864884e+00dB,1.11440175206134e+02)
8.73031664480325e+02	(-5.54294853044356e+00dB,1.09307338333384e+02)
8.93367184301920e+02	(-5.38349891401261e+00dB,1.07222850296823e+02)
9.14176379229743e+02	(-5.22995055444693e+00dB,1.05185874009095e+02)
9.35470282574389e+02	(-5.08182259540353e+00dB,1.03195374060863e+02)
9.57260184645270e+02	(-4.93867696476116e+00dB,1.01250160328508e+02)
9.79557638736885e+02	(-4.80011710960159e+00dB,9.93489269235897e+01)
1.00237446725454e+03	(-4.66578620445263e+00dB,9.74902864280434e+01)
1.02572276798272e+03	(-4.53536498397279e+00dB,9.56727995337263e+01)
1.04961492049954e+03	(-4.40856932786957e+00dB,9.38950003277892e+01)
1.07406359274050e+03	(-4.28514770329487e+00dB,9.21554175451231e+01)
1.09908174771524e+03	(-4.16487854919190e+00dB,9.04525921542697e+01)
1.12468265038069e+03	(-4.04756766860337e+00dB,8.87850916617781e+01)
1.15087987467430e+03	(-3.93304567900435e+00dB,8.71515215190491e+01)
1.17768731071117e+03	(-3.82116555728893e+00dB,8.55505340011386e+01)
1.20511917214871e+03	(-3.71180030497483e+00dB,8.39808349035297e+01)
1.23319000372295e+03	(-3.60484075026532e+00dB,8.24411883742266e+01)
1.26191468896038e+03	(-3.50019349655886e+00dB,8.09304201674265e+01)
1.29130845806930e+03	(-3.39777902154955e+00dB,7.94474195734859e+01)
1.32138689601518e+03	(-3.29752992694886e+00dB,7.79911402492688e+01)
1.35216595078395e+03	(-3.19938933584434e+00dB,7.65606001441538e+01)
1.38366194183786e+03	(-3.10330943257308e+00dB,7.51548806904782e+01)
1.41589156876826e+03	(-3.00925013854816e+00dB,7.37731254032735e+01)
1.44887192014997e+03	(-2.91717791657533e+00dB,7.24145380128639e+01)
1.48262048260182e+03	(-2.82706469570641e+00dB,7.10783802351657e+01)
1.51715515005835e+03	(-2.73888690849349e+00dB,6.97639692682222e+01)
1.55249423325737e+03	(-2.65262463254547e+00dB,6.84706750894131e+01)
1.58865646944855e+03	(-2.56826082848408e+00dB,6.71979176156776e+01)
1.62566103232818e+03	(-2.48578066669616e+00dB,6.59451637787635e+01)
1.66352754220533e+03	(-2.40517093564423e+00dB,6.47119245587348e+01)
1.70227607640474e+03	(-2.32641952490068e+00dB,6.34977520115277e+01)
1.74192717991215e+03	(-2.24951497648699e+00dB,6.23022363200567e+01)
1.78250187626748e+03	(-2.17444609851813e+00dB,6.11250028930625e+01)
1.82402167871180e+03	(-2.10120163555862e+00dB,5.99657095314063e+01)
1.86650860159397e+03	(-2.02976999048714e+00dB,5.88240436777333e+01)
1.90998517204286e+03	(-1.96013899303564e+00dB,5.76997197622182e+01)
1.95447444191160e+03	(-1.89229571051512e+00dB,5.65924766543895e+01)
1.99999999999998e+03	(-1.82622629656342e+00dB,5.55020752287152e+01)
2.04658598456149e+03	(-1.76191587405082e+00dB,5.44282960496544e+01)
2.09425709610178e+03	(-1.69934844855789e+00dB,5.33709371801816e+01)
2.14303861047519e+03	(-1.63850684909957e+00dB,5.23298121163287e+01)
2.19295639228635e+03	(-1.57937269301037e+00dB,5.13047478490260e+01)
2.24403690860391e+03	(-1.52192637213051e+00dB,5.02955830534212e+01)
2.29630724299374e+03	(-1.46614705764341e+00dB,4.93021664049058e+01)
2.34979510987904e+03	(-1.41201272111238e+00dB,4.83243550202408e+01)
2.40452886923480e+03	(-1.35950016945090e+00dB,4.73620130214570e+01)
2.46053754162474e+03	(-1.30858509173651e+00dB,4.64150102195768e+01)
2.51785082358831e+03	(-1.25924211594609e+00dB,4.54832209146646e+01)
2.57649910338624e+03	(-1.21144487384789e+00dB,4.45665228082594e+01)
2.63651347711279e+03	(-1.16516607243777e+00dB,4.36647960238506e+01)
2.69792576518328e+03	(-1.12037757045060e+00dB,4.27779222307498e+01)
2.76076852920574e+03	(-1.07705045861445e+00dB,4.19057838664481e+01)
2.82507508924548e+03	(-1.03515514244665e+00dB,4.10482634523626e+01)
2.89087954149183e+03	(-9.94661426514190e-01dB,4.02052429977304e+01)
2.95821677633639e+03	(-9.55538599199056e-01dB,3.93766034863224e+01)
3.02712249687239e+03	(-9.17755517120489e-01dB,3.85622244406123e+01)
3.09763323782493e+03	(-8.81280688471269e-01dB,3.77619835580335e+01)
3.16978638492220e+03	(-8.46082354624202e-01dB,3.69757564140054e+01)
3.24362019471783e+03	(-8.12128569457044e-01dB,3.62034162264883e+01)
3.31917381487509e+03	(-7.79387275930628e-01dB,3.54448336769377e+01)
3.39648730492346e+03	(-7.47826379534938e-01dB,3.46998767826678e+01)
3.47560165749872e+03	(-7.17413818290943e-01dB,3.39684108158015e+01)
3.55655882007781e+03	(-6.88117629064412e-01dB,3.32502982641656e+01)
3.63940171721993e+03	(-6.59906010008504e-01dB,3.25453988296948e+01)
3.72417427332570e+03	(-6.32747379008329e-01dB,3.18535694601204e+01)
3.81092143592646e+03	(-6.06610428050173e-01dB,3.11746644099506e+01)
3.89968919951605e+03	(-5.81464173482811e-01dB,3.05085353269749e+01)
3.99052462993772e+03	(-5.57278002177691e-01dB,2.98550313607698e+01)
4.08347588933902e+03	(-5.34021713628906e-01dB,2.92139992899156e+01)
4.17859226170804e+03	(-5.11665558064045e-01dB,2.85852836648752e+01)
4.27592417900442e+03	(-4.90180270661771e-01dB,2.79687269637211e+01)
4.37552324789906e+03	(-4.69537101993941e-01dB,2.73641697581258e+01)
4.47744227713663e+03	(-4.49707844827158e-01dB,2.67714508872562e+01)
4.58173530553550e+03	(-4.30664857433019e-01dB,2.61904076374291e+01)
4.68845763063980e+03	(-4.12381083567268e-01dB,2.56208759255934e+01)
4.79766583803893e+03	(-3.94830069286292e-01dB,2.50626904849028e+01)
4.90941783137001e+03	(-3.77985976774887e-01dB,2.45156850508320e+01)
5.02377286301911e+03	(-3.61823595362857e-01dB,2.39796925464660e+01)
5.14079156553767e+03	(-3.46318349909148e-01dB,2.34545452657624e+01)
5.26053598379071e+03	(-3.31446306732129e-01dB,2.29400750537380e+01)
5.38306960785377e+03	(-3.17184177262523e-01dB,2.24361134826802e+01)
5.50845740667628e+03	(-3.03509319592627e-01dB,2.19424920236154e+01)
5.63676586252885e+03	(-2.90399738091153e-01dB,2.14590422123909e+01)
5.76806300625315e+03	(-2.77834081247809e-01dB,2.09855958098400e+01)
5.90241845333271e+03	(-2.65791637906246e-01dB,2.05219849556007e+01)
6.03990344080397e+03	(-2.54252332037235e-01dB,2.00680423152563e+01)
6.18059086502711e+03	(-2.43196716197505e-01dB,1.96236012205440e+01)
6.32455532033669e+03	(-2.32605963812159e-01dB,1.91884958024592e+01)
6.47187313859250e+03	(-2.22461860411778e-01dB,1.87625611171453e+01)
6.62262242965175e+03	(-2.12746793947335e-01dB,1.83456332645220e+01)
6.77688312278398e+03	(-2.03443744298882e-01dB,1.79375494996541e+01)
6.93473700905056e+03	(-1.94536272086858e-01dB,1.75381483369125e+01)
7.09626778467143e+03	(-1.86008506886778e-01dB,1.71472696470141e+01)
7.26156109540195e+03	(-1.77845134941817e-01dB,1.67647547470649e+01)
7.43070458194337e+03	(-1.70031386460157e-01dB,1.63904464837581e+01)
7.60378792641114e+03	(-1.62553022577754e-01dB,1.60241893099021e+01)
7.78090289988553e+03	(-1.55396322060208e-01dB,1.56658293544746e+01)
