Frequency,V_in,V_out
20,21.3,0.110
100,21.3,0.160
200,21.3,0.540
300,21.3,1.19
400,21.3,2.33
500,21.3,3.86
600,21.3,5.39
700,21.1,7.28
800,21.1,8.76
900,21.1,10.5
1000,20.9,11.7
1200,20.7,13.9
1400,20.7,15.9
1600,20.3,16.9
1800,20.3,17.5
2000,20.3,18.3
3000,20.3,19.1
4000,20.3,19.3
5500,20.3,19.7
