Freq.	V(vout)/V(+)
1.35865865865866e+02	(1.07231319194108e+00dB,-1.05002907609120e+02)
1.36864864864865e+02	(9.85377324636257e-01dB,-1.05565483253186e+02)
1.37863863863864e+02	(8.98279565602632e-01dB,-1.06121722680043e+02)
1.38862862862863e+02	(8.11036541759087e-01dB,-1.06671670962200e+02)
1.39861861861862e+02	(7.23664434711878e-01dB,-1.07215375135493e+02)
1.40860860860861e+02	(6.36178981665604e-01dB,-1.07752884056909e+02)
1.41859859859860e+02	(5.48595477160781e-01dB,-1.08284248266974e+02)
1.42858858858859e+02	(4.60928775575451e-01dB,-1.08809519856787e+02)
1.43857857857858e+02	(3.73193294330094e-01dB,-1.09328752339782e+02)
1.44856856856857e+02	(2.85403017737325e-01dB,-1.09842000528229e+02)
1.45855855855856e+02	(1.97571501440067e-01dB,-1.10349320414504e+02)
1.46854854854855e+02	(1.09711877384211e-01dB,-1.10850769057123e+02)
1.47853853853854e+02	(2.18368592740995e-02dB,-1.11346404471502e+02)
1.48852852852853e+02	(-6.60412515381611e-02dB,-1.11836285525434e+02)
1.49851851851852e+02	(-1.53910559776464e-01dB,-1.12320471839192e+02)
1.50850850850851e+02	(-2.41759569621728e-01dB,-1.12799023690221e+02)
1.51849849849850e+02	(-3.29577177792121e-01dB,-1.13272001922332e+02)
1.52848848848849e+02	(-4.17352666361905e-01dB,-1.13739467859301e+02)
1.53847847847848e+02	(-5.05075695355901e-01dB,-1.14201483222798e+02)
1.54846846846847e+02	(-5.92736295154597e-01dB,-1.14658110054519e+02)
1.55845845845846e+02	(-6.80324858742257e-01dB,-1.15109410642430e+02)
1.56844844844844e+02	(-7.67832133828277e-01dB,-1.15555447451003e+02)
1.57843843843843e+02	(-8.55249214870485e-01dB,-1.15996283055320e+02)
1.58842842842842e+02	(-9.42567535026058e-01dB,-1.16431980078936e+02)
1.59841841841841e+02	(-1.02977885805444e+00dB,-1.16862601135366e+02)
1.60840840840840e+02	(-1.11687527019496e+00dB,-1.17288208773071e+02)
1.61839839839839e+02	(-1.20384917203920e+00dB,-1.17708865423837e+02)
1.62838838838838e+02	(-1.29069327041727e+00dB,-1.18124633354386e+02)
1.63837837837837e+02	(-1.37740057031526e+00dB,-1.18535574621130e+02)
1.64836836836836e+02	(-1.46396436683918e+00dB,-1.18941751027915e+02)
1.65835835835835e+02	(-1.55037823724016e+00dB,-1.19343224086647e+02)
1.66834834834834e+02	(-1.63663603301324e+00dB,-1.19740054980675e+02)
1.67833833833833e+02	(-1.72273187208159e+00dB,-1.20132304530806e+02)
1.68832832832832e+02	(-1.80866013107639e+00dB,-1.20520033163840e+02)
1.69831831831831e+02	(-1.89441543772160e+00dB,-1.20903300883511e+02)
1.70830830830830e+02	(-1.97999266333163e+00dB,-1.21282167243708e+02)
1.71829829829829e+02	(-2.06538691542913e+00dB,-1.21656691323888e+02)
1.72828828828828e+02	(-2.15059353048906e+00dB,-1.22026931706560e+02)
1.73827827827827e+02	(-2.23560806681427e+00dB,-1.22392946456731e+02)
1.74826826826826e+02	(-2.32042629754724e+00dB,-1.22754793103236e+02)
1.75825825825825e+02	(-2.40504420382163e+00dB,-1.23112528621828e+02)
1.76824824824824e+02	(-2.48945796805681e+00dB,-1.23466209419956e+02)
1.77823823823823e+02	(-2.57366396739776e+00dB,-1.23815891323131e+02)
1.78822822822822e+02	(-2.65765876730217e+00dB,-1.24161629562786e+02)
1.79821821821821e+02	(-2.74143911527637e+00dB,-1.24503478765568e+02)
1.80820820820820e+02	(-2.82500193476038e+00dB,-1.24841492943950e+02)
1.81819819819819e+02	(-2.90834431916302e+00dB,-1.25175725488122e+02)
1.82818818818818e+02	(-2.99146352604685e+00dB,-1.25506229159052e+02)
1.83817817817817e+02	(-3.07435697146256e+00dB,-1.25833056082675e+02)
1.84816816816816e+02	(-3.15702222443203e+00dB,-1.26156257745117e+02)
1.85815815815815e+02	(-3.23945700157943e+00dB,-1.26475884988916e+02)
1.86814814814814e+02	(-3.32165916190852e+00dB,-1.26791988010151e+02)
1.87813813813813e+02	(-3.40362670172520e+00dB,-1.27104616356440e+02)
1.88812812812812e+02	(-3.48535774970315e+00dB,-1.27413818925742e+02)
1.89811811811811e+02	(-3.56685056209101e+00dB,-1.27719643965908e+02)
1.90810810810810e+02	(-3.64810351805873e+00dB,-1.28022139074941e+02)
1.91809809809809e+02	(-3.72911511518110e+00dB,-1.28321351201898e+02)
1.92808808808808e+02	(-3.80988396505593e+00dB,-1.28617326648406e+02)
1.93807807807807e+02	(-3.89040878905460e+00dB,-1.28910111070739e+02)
1.94806806806806e+02	(-3.97068841420238e+00dB,-1.29199749482417e+02)
1.95805805805805e+02	(-4.05072176918586e+00dB,-1.29486286257288e+02)
1.96804804804804e+02	(-4.13050788048484e+00dB,-1.29769765133052e+02)
1.97803803803803e+02	(-4.21004586862603e+00dB,-1.30050229215198e+02)
1.98802802802802e+02	(-4.28933494455584e+00dB,-1.30327720981320e+02)
1.99801801801801e+02	(-4.36837440612919e+00dB,-1.30602282285775e+02)
2.00800800800800e+02	(-4.44716363471197e+00dB,-1.30873954364655e+02)
2.01799799799799e+02	(-4.52570209189410e+00dB,-1.31142777841058e+02)
2.02798798798798e+02	(-4.60398931631025e+00dB,-1.31408792730605e+02)
2.03797797797797e+02	(-4.68202492056591e+00dB,-1.31672038447206e+02)
2.04796796796796e+02	(-4.75980858826551e+00dB,-1.31932553809036e+02)
2.05795795795795e+02	(-4.83734007114014e+00dB,-1.32190377044701e+02)
2.06794794794794e+02	(-4.91461918627207e+00dB,-1.32445545799577e+02)
2.07793793793793e+02	(-4.99164581341341e+00dB,-1.32698097142301e+02)
2.08792792792792e+02	(-5.06841989239599e+00dB,-1.32948067571392e+02)
2.09791791791791e+02	(-5.14494142063034e+00dB,-1.33195493021994e+02)
2.10790790790790e+02	(-5.22121045069070e+00dB,-1.33440408872713e+02)
2.11789789789789e+02	(-5.29722708798364e+00dB,-1.33682849952547e+02)
2.12788788788788e+02	(-5.37299148849809e+00dB,-1.33922850547882e+02)
2.13787787787787e+02	(-5.44850385663379e+00dB,-1.34160444409546e+02)
2.14786786786786e+02	(-5.52376444310630e+00dB,-1.34395664759916e+02)
2.15785785785785e+02	(-5.59877354292585e+00dB,-1.34628544300050e+02)
2.16784784784784e+02	(-5.67353149344786e+00dB,-1.34859115216855e+02)
2.17783783783783e+02	(-5.74803867249289e+00dB,-1.35087409190260e+02)
2.18782782782782e+02	(-5.82229549653380e+00dB,-1.35313457400399e+02)
2.19781781781781e+02	(-5.89630241894798e+00dB,-1.35537290534790e+02)
2.20780780780780e+02	(-5.97005992833254e+00dB,-1.35758938795505e+02)
2.21779779779779e+02	(-6.04356854688045e+00dB,-1.35978431906317e+02)
2.22778778778778e+02	(-6.11682882881565e+00dB,-1.36195799119830e+02)
2.23777777777776e+02	(-6.18984135888514e+00dB,-1.36411069224568e+02)
2.24776776776775e+02	(-6.26260675090621e+00dB,-1.36624270552040e+02)
2.25775775775774e+02	(-6.33512564636704e+00dB,-1.36835430983749e+02)
2.26774774774773e+02	(-6.40739871307873e+00dB,-1.37044577958165e+02)
2.27773773773772e+02	(-6.47942664387719e+00dB,-1.37251738477642e+02)
2.28772772772771e+02	(-6.55121015537320e+00dB,-1.37456939115282e+02)
2.29771771771770e+02	(-6.62274998674885e+00dB,-1.37660206021739e+02)
2.30770770770769e+02	(-6.69404689859893e+00dB,-1.37861564931961e+02)
2.31769769769768e+02	(-6.76510167181582e+00dB,-1.38061041171865e+02)
2.32768768768767e+02	(-6.83591510651608e+00dB,-1.38258659664951e+02)
2.33767767767766e+02	(-6.90648802100766e+00dB,-1.38454444938838e+02)
2.34766766766765e+02	(-6.97682125079597e+00dB,-1.38648421131733e+02)
2.35765765765764e+02	(-7.04691564762792e+00dB,-1.38840611998824e+02)
2.36764764764763e+02	(-7.11677207857211e+00dB,-1.39031040918593e+02)
2.37763763763762e+02	(-7.18639142513422e+00dB,-1.39219730899063e+02)
2.38762762762761e+02	(-7.25577458240636e+00dB,-1.39406704583953e+02)
2.39761761761760e+02	(-7.32492245824901e+00dB,-1.39591984258764e+02)
2.40760760760759e+02	(-7.39383597250459e+00dB,-1.39775591856778e+02)
2.41759759759758e+02	(-7.46251605624148e+00dB,-1.39957548964978e+02)
2.42758758758757e+02	(-7.53096365102723e+00dB,-1.40137876829889e+02)
2.43757757757756e+02	(-7.59917970823042e+00dB,-1.40316596363330e+02)
2.44756756756755e+02	(-7.66716518834949e+00dB,-1.40493728148091e+02)
2.45755755755754e+02	(-7.73492106036812e+00dB,-1.40669292443520e+02)
2.46754754754753e+02	(-7.80244830113598e+00dB,-1.40843309191036e+02)
2.47753753753752e+02	(-7.86974789477387e+00dB,-1.41015798019550e+02)
2.48752752752751e+02	(-7.93682083210262e+00dB,-1.41186778250809e+02)
2.49751751751750e+02	(-8.00366811009464e+00dB,-1.41356268904658e+02)
2.50750750750749e+02	(-8.07029073134754e+00dB,-1.41524288704215e+02)
2.51749749749748e+02	(-8.13668970357869e+00dB,-1.41690856080968e+02)
2.52748748748747e+02	(-8.20286603914046e+00dB,-1.41855989179792e+02)
2.53747747747746e+02	(-8.26882075455485e+00dB,-1.42019705863881e+02)
2.54746746746745e+02	(-8.33455487006727e+00dB,-1.42182023719603e+02)
2.55745745745744e+02	(-8.40006940921837e+00dB,-1.42342960061274e+02)
2.56744744744743e+02	(-8.46536539843366e+00dB,-1.42502531935854e+02)
2.57743743743742e+02	(-8.53044386662995e+00dB,-1.42660756127563e+02)
2.58742742742741e+02	(-8.59530584483817e+00dB,-1.42817649162419e+02)
2.59741741741740e+02	(-8.65995236584188e+00dB,-1.42973227312706e+02)
2.60740740740739e+02	(-8.72438446383098e+00dB,-1.43127506601356e+02)
2.61739739739738e+02	(-8.78860317407008e+00dB,-1.43280502806262e+02)
2.62738738738737e+02	(-8.85260953258075e+00dB,-1.43432231464517e+02)
2.63737737737736e+02	(-8.91640457583756e+00dB,-1.43582707876577e+02)
2.64736736736735e+02	(-8.97998934047694e+00dB,-1.43731947110352e+02)
2.65735735735734e+02	(-9.04336486301881e+00dB,-1.43879964005230e+02)
2.66734734734733e+02	(-9.10653217960016e+00dB,-1.44026773176021e+02)
2.67733733733732e+02	(-9.16949232572036e+00dB,-1.44172389016843e+02)
2.68732732732731e+02	(-9.23224633599776e+00dB,-1.44316825704929e+02)
2.69731731731730e+02	(-9.29479524393695e+00dB,-1.44460097204373e+02)
2.70730730730729e+02	(-9.35714008170651e+00dB,-1.44602217269807e+02)
2.71729729729728e+02	(-9.41928187992687e+00dB,-1.44743199450012e+02)
2.72728728728727e+02	(-9.48122166746755e+00dB,-1.44883057091466e+02)
2.73727727727726e+02	(-9.54296047125405e+00dB,-1.45021803341823e+02)
2.74726726726725e+02	(-9.60449931608341e+00dB,-1.45159451153338e+02)
2.75725725725724e+02	(-9.66583922444845e+00dB,-1.45296013286223e+02)
2.76724724724723e+02	(-9.72698121637031e+00dB,-1.45431502311943e+02)
2.77723723723722e+02	(-9.78792630923901e+00dB,-1.45565930616457e+02)
2.78722722722721e+02	(-9.84867551766157e+00dB,-1.45699310403394e+02)
2.79721721721720e+02	(-9.90922985331758e+00dB,-1.45831653697176e+02)
2.80720720720719e+02	(-9.96959032482189e+00dB,-1.45962972346079e+02)
2.81719719719718e+02	(-1.00297579375941e+01dB,-1.46093278025246e+02)
2.82718718718717e+02	(-1.00897336937347e+01dB,-1.46222582239635e+02)
2.83717717717716e+02	(-1.01495185919075e+01dB,-1.46350896326921e+02)
2.84716716716715e+02	(-1.02091136272277e+01dB,-1.46478231460340e+02)
2.85715715715714e+02	(-1.02685197911571e+01dB,-1.46604598651484e+02)
2.86714714714713e+02	(-1.03277380714032e+01dB,-1.46730008753042e+02)
2.87713713713712e+02	(-1.03867694518251e+01dB,-1.46854472461493e+02)
2.88712712712711e+02	(-1.04456149123441e+01dB,-1.46978000319748e+02)
2.89711711711710e+02	(-1.05042754288591e+01dB,-1.47100602719743e+02)
2.90710710710709e+02	(-1.05627519731672e+01dB,-1.47222289904986e+02)
2.91709709709708e+02	(-1.06210455128887e+01dB,-1.47343071973055e+02)
2.92708708708707e+02	(-1.06791570113964e+01dB,-1.47462958878052e+02)
2.93707707707707e+02	(-1.07370874277500e+01dB,-1.47581960433011e+02)
2.94706706706706e+02	(-1.07948377166334e+01dB,-1.47700086312260e+02)
2.95705705705705e+02	(-1.08524088282967e+01dB,-1.47817346053742e+02)
2.96704704704704e+02	(-1.09098017085021e+01dB,-1.47933749061294e+02)
2.97703703703703e+02	(-1.09670172984728e+01dB,-1.48049304606877e+02)
2.98702702702702e+02	(-1.10240565348461e+01dB,-1.48164021832777e+02)
2.99701701701701e+02	(-1.10809203496296e+01dB,-1.48277909753752e+02)
3.00700700700700e+02	(-1.11376096701604e+01dB,-1.48390977259152e+02)
3.01699699699699e+02	(-1.11941254190675e+01dB,-1.48503233114988e+02)
3.02698698698698e+02	(-1.12504685142377e+01dB,-1.48614685965974e+02)
3.03697697697697e+02	(-1.13066398687837e+01dB,-1.48725344337526e+02)
3.04696696696696e+02	(-1.13626403910151e+01dB,-1.48835216637720e+02)
3.05695695695695e+02	(-1.14184709844123e+01dB,-1.48944311159225e+02)
3.06694694694694e+02	(-1.14741325476027e+01dB,-1.49052636081190e+02)
3.07693693693693e+02	(-1.15296259743392e+01dB,-1.49160199471102e+02)
3.08692692692692e+02	(-1.15849521534816e+01dB,-1.49267009286611e+02)
3.09691691691691e+02	(-1.16401119689796e+01dB,-1.49373073377315e+02)
3.10690690690690e+02	(-1.16951062998581e+01dB,-1.49478399486519e+02)
3.11689689689689e+02	(-1.17499360202047e+01dB,-1.49582995252961e+02)
3.12688688688688e+02	(-1.18046019991593e+01dB,-1.49686868212501e+02)
3.13687687687687e+02	(-1.18591051009051e+01dB,-1.49790025799787e+02)
3.14686686686686e+02	(-1.19134461846619e+01dB,-1.49892475349884e+02)
3.15685685685685e+02	(-1.19676261046807e+01dB,-1.49994224099878e+02)
3.16684684684684e+02	(-1.20216457102404e+01dB,-1.50095279190449e+02)
3.17683683683683e+02	(-1.20755058456458e+01dB,-1.50195647667415e+02)
3.18682682682682e+02	(-1.21292073502270e+01dB,-1.50295336483247e+02)
3.19681681681681e+02	(-1.21827510583405e+01dB,-1.50394352498560e+02)
3.20680680680680e+02	(-1.22361377993719e+01dB,-1.50492702483575e+02)
3.21679679679679e+02	(-1.22893683977392e+01dB,-1.50590393119553e+02)
3.22678678678678e+02	(-1.23424436728980e+01dB,-1.50687431000207e+02)
3.23677677677677e+02	(-1.23953644393480e+01dB,-1.50783822633083e+02)
3.24676676676676e+02	(-1.24481315066398e+01dB,-1.50879574440924e+02)
3.25675675675675e+02	(-1.25007456793836e+01dB,-1.50974692763001e+02)
3.26674674674674e+02	(-1.25532077572592e+01dB,-1.51069183856426e+02)
3.27673673673673e+02	(-1.26055185350259e+01dB,-1.51163053897439e+02)
3.28672672672672e+02	(-1.26576788025342e+01dB,-1.51256308982672e+02)
3.29671671671671e+02	(-1.27096893447384e+01dB,-1.51348955130393e+02)
3.30670670670670e+02	(-1.27615509417097e+01dB,-1.51440998281722e+02)
3.31669669669669e+02	(-1.28132643686502e+01dB,-1.51532444301834e+02)
3.32668668668668e+02	(-1.28648303959083e+01dB,-1.51623298981131e+02)
3.33667667667667e+02	(-1.29162497889937e+01dB,-1.51713568036401e+02)
3.34666666666666e+02	(-1.29675233085942e+01dB,-1.51803257111952e+02)
3.35665665665665e+02	(-1.30186517105927e+01dB,-1.51892371780726e+02)
3.36664664664664e+02	(-1.30696357460845e+01dB,-1.51980917545400e+02)
3.37663663663663e+02	(-1.31204761613963e+01dB,-1.52068899839454e+02)
3.38662662662662e+02	(-1.31711736981044e+01dB,-1.52156324028235e+02)
3.39661661661661e+02	(-1.32217290930543e+01dB,-1.52243195409994e+02)
3.40660660660660e+02	(-1.32721430783811e+01dB,-1.52329519216904e+02)
3.41659659659659e+02	(-1.33224163815292e+01dB,-1.52415300616066e+02)
3.42658658658658e+02	(-1.33725497252737e+01dB,-1.52500544710492e+02)
3.43657657657657e+02	(-1.34225438277414e+01dB,-1.52585256540074e+02)
3.44656656656656e+02	(-1.34723994024329e+01dB,-1.52669441082533e+02)
3.45655655655655e+02	(-1.35221171582443e+01dB,-1.52753103254358e+02)
3.46654654654654e+02	(-1.35716977994900e+01dB,-1.52836247911718e+02)
3.47653653653653e+02	(-1.36211420259255e+01dB,-1.52918879851371e+02)
3.48652652652652e+02	(-1.36704505327701e+01dB,-1.53001003811544e+02)
3.49651651651651e+02	(-1.37196240107311e+01dB,-1.53082624472809e+02)
3.50650650650650e+02	(-1.37686631460267e+01dB,-1.53163746458941e+02)
3.51649649649649e+02	(-1.38175686204107e+01dB,-1.53244374337754e+02)
3.52648648648648e+02	(-1.38663411111963e+01dB,-1.53324512621931e+02)
3.53647647647647e+02	(-1.39149812912803e+01dB,-1.53404165769840e+02)
3.54646646646646e+02	(-1.39634898291685e+01dB,-1.53483338186328e+02)
3.55645645645645e+02	(-1.40118673889998e+01dB,-1.53562034223511e+02)
3.56644644644644e+02	(-1.40601146305716e+01dB,-1.53640258181543e+02)
3.57643643643643e+02	(-1.41082322093645e+01dB,-1.53718014309375e+02)
3.58642642642642e+02	(-1.41562207765685e+01dB,-1.53795306805506e+02)
3.59641641641641e+02	(-1.42040809791075e+01dB,-1.53872139818710e+02)
3.60640640640640e+02	(-1.42518134596653e+01dB,-1.53948517448760e+02)
3.61639639639639e+02	(-1.42994188567111e+01dB,-1.54024443747139e+02)
